id,number,nationwide_number,name,sex,year_of_birth,nationality,military_civilian,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,hours_mission,total_hrs_sum
215,111,53,"Savitskaya, Svetlana",female,1948,U.S.S.R/Russia,civilian,1980,1,2,MSP,1982,Salyut 7,189.0,473.1
216,111,53,"Savitskaya, Svetlana",female,1948,U.S.S.R/Russia,civilian,1980,2,2,flight engineer,1984,Salyut 7,283.0,473.1
217,112,49,"Overmyer, Robert F.",male,1936,U.S.,military,1966,1,2,pilot,1982,STS-5,122.0,290.0
218,112,49,"Overmyer, Robert F.",male,1936,U.S.,military,1966,2,2,commander,1985,STS-51-B,168.0,290.0
219,113,50,"Allen, Joseph P.",male,1937,U.S.,civilian,1967,1,2,MSP,1982,STS-5,122.0,314.0
220,113,50,"Allen, Joseph P.",male,1937,U.S.,civilian,1967,2,2,MSP,1984,STS-51-A,191.0,314.0
221,114,51,"Lenoir, William B.",male,1939,U.S.,civilian,1967,1,1,MSP,1982,STS-5,122.0,122.0
222,115,52,"Bobko, Karol J.",male,1937,U.S.,military,1969,1,3,pilot,1983,STS-6,122.0,386.0
223,115,52,"Bobko, Karol J.",male,1937,U.S.,military,1969,2,3,commander,1985,STS-51-D,236.0,386.0
224,115,52,"Bobko, Karol J.",male,1937,U.S.,military,1969,3,3,commander,1985,STS-51-J,98.0,386.0
225,116,53,"Peterson, Donald H.",male,1933,U.S.,military,1969,1,1,MSP,1983,STS-6,120.0,120.0
226,117,54,"Musgrave, Franklin Story",male,1935,U.S.,civilian,1967,1,6,MSP,1983,STS-6,120.0,1281.0
227,117,54,"Musgrave, Franklin Story",male,1935,U.S.,civilian,1967,2,6,MSP,1985,STS-51F,191.0,1281.0
228,117,54,"Musgrave, Franklin Story",male,1935,U.S.,civilian,1967,3,6,MSP,1989,STS-33,168.0,1281.0
229,117,54,"Musgrave, Franklin Story",male,1935,U.S.,civilian,1967,4,6,MSP,1991,STS-44,167.0,1281.0
230,117,54,"Musgrave, Franklin Story",male,1935,U.S.,civilian,1967,5,6,MSP,1993,STS-61,260.0,1281.0
231,117,54,"Musgrave, Franklin Story",male,1935,U.S.,civilian,1967,6,6,MSP,1996,STS-80,424.0,1281.0
232,118,54,"Titov, Vladimir",male,1947,U.S.S.R/Russia,military,1976,1,4,commander,1983,Soyuz T­8,48.0,9288.75
233,118,54,"Titov, Vladimir",male,1947,U.S.S.R/Russia,military,1976,2,4,commander,1988,3,8782.0,9288.75
234,118,54,"Titov, Vladimir",male,1947,U.S.S.R/Russia,military,1976,3,4,MSP,1995,STS­63,198.0,9288.75
235,118,54,"Titov, Vladimir",male,1947,U.S.S.R/Russia,military,1976,4,4,commander,1997,24,259.0,9288.75
236,119,55,"Hauck, Frederick H.",male,1941,U.S.,military,1978,1,3,pilot,1983,STS-7,146.0,434.0
237,119,55,"Hauck, Frederick H.",male,1941,U.S.,military,1978,2,3,commander,1984,STS-51-A,191.0,434.0
238,119,55,"Hauck, Frederick H.",male,1941,U.S.,military,1978,3,3,commander,1988,STS-26,97.0,434.0
239,120,56,"Fabian, John M.",male,1939,U.S.,military,1978,1,2,MSP,1983,STS-7,146.0,316.0
240,120,56,"Fabian, John M.",male,1939,U.S.,military,1978,2,2,MSP,1985,STS-51-G,170.0,316.0
241,121,57,"Ride, Sally K.",female,1951,U.S.,civilian,1978,1,2,MSP,1983,STS-7,147.0,343.0
242,121,57,"Ride, Sally K.",female,1951,U.S.,civilian,1978,2,2,MSP,1984,STS-41-G,197.0,343.0
243,122,58,"Thagard, Norman E.",male,1943,U.S.,civilian,1978,1,5,MSP,1983,STS-7,147.0,3373.4
244,122,58,"Thagard, Norman E.",male,1943,U.S.,civilian,1978,2,5,MSP,1985,STS-51B,168.0,3373.4
245,122,58,"Thagard, Norman E.",male,1943,U.S.,civilian,1978,3,5,MSP,1989,STS-30,97.0,3373.4
246,122,58,"Thagard, Norman E.",male,1943,U.S.,civilian,1978,4,5,MSP,1992,STS-42,192.0,3373.4
247,122,58,"Thagard, Norman E.",male,1943,U.S.,civilian,1978,5,5,MSP,1995,18,2760.0,3373.4
248,123,55,"Aleksandrov, Aleksandr",male,1943,U.S.S.R/Russia,civilian,1978,1,2,flight engineer,1983,Salyut 7,3586.0,7434.03
249,123,55,"Aleksandrov, Aleksandr",male,1943,U.S.S.R/Russia,civilian,1978,2,2,flight engineer,1987,2,3847.0,7434.03
250,124,59,"Brandenstein, Daniel C.",male,1943,U.S.,military,1978,1,4,pilot,1983,STS-8,145.0,789.0
251,124,59,"Brandenstein, Daniel C.",male,1943,U.S.,military,1978,2,4,commander,1985,STS-51-G,170.0,789.0
252,124,59,"Brandenstein, Daniel C.",male,1943,U.S.,military,1978,3,4,commander,1990,STS-32,261.0,789.0
253,124,59,"Brandenstein, Daniel C.",male,1943,U.S.,military,1978,4,4,commander,1992,STS-49,213.0,789.0
254,125,60,"Bluford, Guion S., Jr.",male,1942,U.S.,military,1978,1,4,MSP,1983,STS-8,31.0,688.0
255,125,60,"Bluford, Guion S., Jr.",male,1942,U.S.,military,1978,2,4,MSP,1985,STS-61-A,168.0,688.0
256,125,60,"Bluford, Guion S., Jr.",male,1942,U.S.,military,1978,3,4,MSP,1991,STS-39,199.0,688.0
257,125,60,"Bluford, Guion S., Jr.",male,1942,U.S.,military,1978,4,4,MSP,1992,STS-53,175.0,688.0
258,126,61,"Gardner, Dale A.",male,1948,U.S.,military,1978,1,2,MSP,1983,STS-8,145.0,336.0
259,126,61,"Gardner, Dale A.",male,1948,U.S.,military,1978,2,2,MSP,1984,STS-51A,191.0,336.0
260,127,62,"Thornton, William E.",male,1929,U.S.,civilian,1967,1,2,MSP,1983,STS-8,145.0,313.26
261,127,62,"Thornton, William E.",male,1929,U.S.,civilian,1967,2,2,MSP,1985,STS-51-B,169.0,313.26
262,128,63,"Shaw, Brewster H., Jr.",male,1945,U.S.,military,1978,1,3,pilot,1983,STS-9,247.75,533.75
263,128,63,"Shaw, Brewster H., Jr.",male,1945,U.S.,military,1978,2,3,commander,1985,STS-61-B,165.0,533.75
264,128,63,"Shaw, Brewster H., Jr.",male,1945,U.S.,military,1978,3,3,commander,1989,STS-28,121.0,533.75
265,129,64,"Parker, Robert A. R.",male,1936,U.S.,civilian,1967,1,2,MSP,1983,STS-9,248.0,463.0
266,129,64,"Parker, Robert A. R.",male,1936,U.S.,civilian,1967,2,2,MSP,1990,STS-35,215.0,463.0
267,130,65,"Lichtenberg, Byron Kurt",male,1948,U.S.,military,1982,1,2,PSP,1983,Spacelab 1,247.94,462.31
268,130,65,"Lichtenberg, Byron Kurt",male,1948,U.S.,military,1982,2,2,PSP,1992,Atlas-1,214.37,462.31
269,131,1,"Merbold, Ulf",male,1941,Germany,civilian,1978,1,3,PSP,1983,STS-9,248.0,1197.6
270,131,1,"Merbold, Ulf",male,1941,Germany,civilian,1978,2,3,PSP,1992,STS-42,193.0,1197.6
271,131,1,"Merbold, Ulf",male,1941,Germany,civilian,1978,3,3,MSP,1994,Euromir 94,756.6,1197.6
272,132,66,"Gibson, Robert L.",male,1946,U.S.,military,1978,1,5,pilot,1984,STS-41-B,191.25,868.13
273,132,66,"Gibson, Robert L.",male,1946,U.S.,military,1978,2,5,commander,1986,STS-61-C,146.0,868.13
274,132,66,"Gibson, Robert L.",male,1946,U.S.,military,1978,3,5,commander,1988,STS-27,105.0,868.13
275,132,66,"Gibson, Robert L.",male,1946,U.S.,military,1978,4,5,commander,1992,STS-47,190.5,868.13
276,132,66,"Gibson, Robert L.",male,1946,U.S.,military,1978,5,5,commander,1995,STS-71,235.38,868.13
277,133,67,"McNair, Ronald E.",male,1950,U.S.,civilian,1978,1,2,MSP,1984,STS-41-B,191.0,191.0
278,133,67,"McNair, Ronald E.",male,1950,U.S.,civilian,1978,2,2,MSP,1986,STS-51-L,0.0,191.0
279,134,68,"Stewart, Robert L.",male,1942,U.S.,military,1978,1,2,MSP,1984,STS-41 B,191.5,289.2
280,134,68,"Stewart, Robert L.",male,1942,U.S.,military,1978,2,2,MSP,1985,STS-51 J,97.7,289.2
281,135,69,"McCandless, Bruce, II",male,1937,U.S.,military,1966,1,2,MSP,1984,STS-41-B,191.0,312.0
282,135,69,"McCandless, Bruce, II",male,1937,U.S.,military,1966,2,2,MSP,1990,STS-31,121.0,312.0
283,136,56,"Solovyov, Vladimir",male,1946,U.S.S.R/Russia,civilian,1978,1,2,flight engineer,1984,Salyut 7,5686.0,8686.82
284,136,56,"Solovyov, Vladimir",male,1946,U.S.S.R/Russia,civilian,1978,2,2,flight engineer,1986,1,3000.0,8686.82
285,137,57,"Atkov, Oleg",male,1949,U.S.S.R/Russia,civilian,1983,1,1,MSP,1984,Salyut 7,5686.0,5686.82
286,138,1,Rakesh Sharma,male,1949,India,military,1982,1,1,pilot,1984,Salyut 7,4365.8,4365.8
287,139,70,"Scobee, Francis R.",male,1939,U.S.,military,1978,1,2,pilot,1984,STS-41-C,168.0,168.0
288,139,70,"Scobee, Francis R.",male,1939,U.S.,military,1978,2,2,commander,1986,STS-51-L,0.0,168.0
289,140,71,"Hart, Terry J.",male,1946,U.S.,civilian,1978,1,1,MSP,1984,STS-41-C,167.67,167.67
290,141,72,"Van Hoften, James D. A.",male,1944,U.S.,civilian,1978,1,2,MSP,1984,STS-41 C,167.0,337.95
291,141,72,"Van Hoften, James D. A.",male,1944,U.S.,civilian,1978,2,2,MSP,1985,STS-51I,171.0,337.95
292,142,73,"Nelson, George D.",male,1950,U.S.,civilian,1978,1,3,MSP,1984,STS-41C,168.0,411.0
293,142,73,"Nelson, George D.",male,1950,U.S.,civilian,1978,2,3,MSP,1986,STS-61C,146.0,411.0
294,142,73,"Nelson, George D.",male,1950,U.S.,civilian,1978,3,3,MSP,1988,STS-26,97.0,411.0
295,143,58,"Volk, Igor",male,1937,U.S.S.R/Russia,military,1977,1,1,MSP,1984,Salyut 7,283.0,283.23
296,144,74,"Coats, Michael L.",male,1952,U.S.,military,1978,1,3,pilot,1984,STS-41-D,145.0,464.0
297,144,74,"Coats, Michael L.",male,1952,U.S.,military,1978,2,3,commander,1989,STS-29,120.0,464.0
298,144,74,"Coats, Michael L.",male,1952,U.S.,military,1978,3,3,commander,1991,STS-39,199.0,464.0
299,145,75,"Mullane, Richard M.",male,1945,U.S.,military,1978,1,3,MSP,1984,STS-41D,145.0,356.0
300,145,75,"Mullane, Richard M.",male,1945,U.S.,military,1978,2,3,MSP,1988,STS-27,105.0,356.0
301,145,75,"Mullane, Richard M.",male,1945,U.S.,military,1978,3,3,MSP,1990,STS-36,106.0,356.0
302,146,76,"Hawley, Steven A.",male,1951,U.S.,civilian,1978,1,5,MSP,1984,STS-41-D,144.0,768.0
303,146,76,"Hawley, Steven A.",male,1951,U.S.,civilian,1978,2,5,MSP,1986,STS-61-C,146.0,768.0
304,146,76,"Hawley, Steven A.",male,1951,U.S.,civilian,1978,3,5,MSP,1990,STS-31,121.0,768.0
305,146,76,"Hawley, Steven A.",male,1951,U.S.,civilian,1978,4,5,MSP,1997,STS-82,239.0,768.0
306,146,76,"Hawley, Steven A.",male,1951,U.S.,civilian,1978,5,5,MSP,1999,STS-93,118.0,768.0
307,147,77,"Resnik, Judith A.",female,1949,U.S.,civilian,1978,1,2,MSP,1984,STS-41-D,144.0,144.0
308,147,77,"Resnik, Judith A.",female,1949,U.S.,civilian,1978,2,2,MSP,1985,STS-51-L,0.0,144.0
309,148,78,"Walker, Charles David",male,1948,U.S.,civilian,1983,1,3,PSP,1984,STS-41D,144.98,478.29
310,148,78,"Walker, Charles David",male,1948,U.S.,civilian,1983,2,3,PSP,1985,STS-51D,168.15,478.29
311,148,78,"Walker, Charles David",male,1948,U.S.,civilian,1983,3,3,PSP,1985,STS-61B,165.16,478.29
312,149,79,"McBride, Jon A.",male,1943,U.S.,military,1978,1,1,pilot,1984,STS-41-G,197.0,197.0
313,150,80,"Sullivan, Kathryn D.",female,1951,U.S.,civilian,1978,1,3,MSP,1984,STS-41-G,197.5,532.0
314,150,80,"Sullivan, Kathryn D.",female,1951,U.S.,civilian,1978,2,3,MSP,1990,STS-31,121.0,532.0
315,150,80,"Sullivan, Kathryn D.",female,1951,U.S.,civilian,1978,3,3,MSP,1992,STS-45,213.5,532.0
316,151,81,"Leestma, David C.",male,1949,U.S.,military,1980,1,3,MSP,1984,STS-41-G,197.0,532.0
317,151,81,"Leestma, David C.",male,1949,U.S.,military,1980,2,3,MSP,1989,STS-28,121.0,532.0
318,151,81,"Leestma, David C.",male,1949,U.S.,military,1980,3,3,MSP,1992,STS-45,214.0,532.0
319,152,82,"Scully-Power, Paul Desmond",male,1944,U.S.,civilian,1984,1,1,PSP,1984,STS-41-G,197.67,197.67
320,153,1,"Garneau, Marc Joseph Jean-Pierre",male,1949,Canada,military,1983,1,3,PSP,1984,STS-41-G,197.0,697.67
321,153,1,"Garneau, Marc Joseph Jean-Pierre",male,1949,Canada,military,1983,2,3,MSP,1996,STS-77,240.67,697.67
322,153,1,"Garneau, Marc Joseph Jean-Pierre",male,1949,Canada,military,1983,3,3,MSP,2000,STS-97,260.0,697.67
323,154,83,"Walker, David Mathieson",male,1944,U.S.,military,1978,1,4,pilot,1984,STS-51-A,191.0,724.45
324,154,83,"Walker, David Mathieson",male,1944,U.S.,military,1978,2,4,commander,1989,STS-30,96.0,724.45
325,154,83,"Walker, David Mathieson",male,1944,U.S.,military,1978,3,4,commander,1992,STS-53,175.0,724.45
326,154,83,"Walker, David Mathieson",male,1944,U.S.,military,1978,4,4,commander,1995,STS-69,44.0,724.45
327,155,84,"Fisher, Anna L.",female,1949,U.S.,civilian,1978,1,1,MSP,1984,STS-51-A,191.0,191.0
328,156,85,"Shriver, Loren J.",male,1944,U.S.,military,1978,1,3,pilot,1985,STS-51-C,73.5,386.0
329,156,85,"Shriver, Loren J.",male,1944,U.S.,military,1978,2,3,commander,1990,STS-31,121.0,386.0
330,156,85,"Shriver, Loren J.",male,1944,U.S.,military,1978,3,3,commander,1992,STS-46,191.0,386.0
331,157,86,"Onizuka, Ellison S.",male,1946,U.S.,military,1978,1,2,MSP,1985,STS 51-C,74.0,74.0
332,157,86,"Onizuka, Ellison S.",male,1946,U.S.,military,1978,2,2,MSP,1986,STS 51-L,0.0,74.0
333,158,87,"Buchli, James F.",male,1945,U.S.,military,1978,1,4,MSP,1985,STS-51-C,73.5,490.0
334,158,87,"Buchli, James F.",male,1945,U.S.,military,1978,2,4,MSP,1985,STS-61-A,168.0,490.0
335,158,87,"Buchli, James F.",male,1945,U.S.,military,1978,3,4,MSP,1989,STS-29,120.0,490.0
336,158,87,"Buchli, James F.",male,1945,U.S.,military,1978,4,4,MSP,1991,STS-48,128.5,490.0
337,159,88,"Payton, Gary Eugene",male,1948,U.S.,military,1979,1,1,PSP,1985,STS-51C,73.675,73.675
338,160,89,"Williams, Donald E.",male,1942,U.S.,military,1978,1,2,pilot,1985,STS-51-D,167.0,286.0
339,160,89,"Williams, Donald E.",male,1942,U.S.,military,1978,2,2,commander,1989,STS-34,119.0,286.0
340,161,90,"Seddon, Margaret Rhea",female,1947,U.S.,civilian,1978,1,3,MSP,1985,STS-51-D,168.0,722.0
341,161,90,"Seddon, Margaret Rhea",female,1947,U.S.,civilian,1978,2,3,MSP,1991,STS-40,218.0,722.0
342,161,90,"Seddon, Margaret Rhea",female,1947,U.S.,civilian,1978,3,3,MSP,1993,STS-58,336.0,722.0
343,162,91,"Griggs, S. David",male,1947,U.S.,civilian,1978,1,1,MSP,1985,STS-51-D,168.0,168.0
344,163,92,"Hoffman, Jeffrey A.",male,1944,U.S.,civilian,1978,1,5,MSP,1985,STS-51-D,167.0,1211.9
345,163,92,"Hoffman, Jeffrey A.",male,1944,U.S.,civilian,1978,2,5,MSP,1990,STS-35,215.0,1211.9
346,163,92,"Hoffman, Jeffrey A.",male,1944,U.S.,civilian,1978,3,5,MSP,1992,STS-46,191.0,1211.9
347,163,92,"Hoffman, Jeffrey A.",male,1944,U.S.,civilian,1978,4,5,MSP,1993,STS-61,259.0,1211.9
348,163,92,"Hoffman, Jeffrey A.",male,1944,U.S.,civilian,1978,5,5,MSP,1996,STS-75,377.0,1211.9
349,164,93,"Garn, Edwin Jacob",male,1932,U.S.,military,1985,1,1,PSP,1985,STS-51D,168.15,168.15
350,165,94,"Gregory, Frederick D.",male,1941,U.S.,military,1978,1,3,pilot,1985,STS-51-B,168.0,455.0
351,165,94,"Gregory, Frederick D.",male,1941,U.S.,military,1978,2,3,commander,1989,STS-33,120.0,455.0
352,165,94,"Gregory, Frederick D.",male,1941,U.S.,military,1978,3,3,commander,1991,STS-44,166.0,455.0
353,166,95,"Lind, Don L.",male,1930,U.S.,military,1966,1,1,MSP,1985,STS-51-B,168.0,168.0
354,167,96,"Lodewijk, van der Berg",male,1932,U.S.,civilian,1983,1,1,PSP,1985,Spacelab-3,168.525,168.525
355,168,97,"Wang, Taylor Gun-Jin",male,1940,U.S.,civilian,1984,1,1,PSP,1985,spacelab-3,168.525,168.525
356,169,98,"Creighton, John O.",male,1943,U.S.,military,1978,1,3,pilot,1985,STS-51-G,170.0,404.0
357,169,98,"Creighton, John O.",male,1943,U.S.,military,1978,2,3,commander,1990,STS-36,106.0,404.0
358,169,98,"Creighton, John O.",male,1943,U.S.,military,1978,3,3,commander,1991,STS-48,128.0,404.0
359,170,99,"Nagel, Steven R.",male,1946,U.S.,military,1978,1,4,MSP,1985,STS-51G,170.0,522.0
360,170,99,"Nagel, Steven R.",male,1946,U.S.,military,1978,2,4,pilot,1985,STS-61A,169.0,522.0
361,170,99,"Nagel, Steven R.",male,1946,U.S.,military,1978,3,4,commander,1991,STS-37,143.0,522.0
362,170,99,"Nagel, Steven R.",male,1946,U.S.,military,1978,4,4,commander,1993,STS-55,240.0,522.0
363,171,100,"Lucid, Shannon W.",female,1943,U.S.,civilian,1978,1,5,MSP,1985,STS-51-G,169.0,5353.0
364,171,100,"Lucid, Shannon W.",female,1943,U.S.,civilian,1978,2,5,MSP,1989,STS-34,119.0,5353.0
365,171,100,"Lucid, Shannon W.",female,1943,U.S.,civilian,1978,3,5,MSP,1991,STS-43,213.0,5353.0
366,171,100,"Lucid, Shannon W.",female,1943,U.S.,civilian,1978,4,5,MSP,1993,STS-58,336.0,5353.0
367,171,100,"Lucid, Shannon W.",female,1943,U.S.,civilian,1978,5,5,MSP,1996,22,4516.0,5353.0
368,172,2,"Baudry, Patrick",male,1946,France,military,1980,1,1,PSP,1985,STS-51G,169.63,169.63
369,173,1,"Al-saud, Sultan bin Salman",male,1956,Saudi Arabia,civilian,1985,1,1,PSP,1985,STS-51G,170.0,170.0
370,174,101,"Bridges, Roy D., Jr.",male,1943,U.S.,military,1980,1,1,pilot,1985,STS-51-F,190.0,190.0
371,175,102,"Henize, Karl G.",male,1926,U.S.,civilian,1967,1,1,MSP,1985,STS-51-F,190.0,190.75
372,176,103,"England, Anthony W.",male,1942,U.S.,civilian,1967,1,1,MSP,1985,STS-51-F,190.0,190.0
373,177,104,"Acton, Loren Wilbur",male,1936,U.S.,civilian,1978,1,1,PSP,1978,Spacelab-2,190.94,190.94
374,178,105,"Bartoe, John-David Francis",male,1944,U.S.,civilian,1978,1,1,PSP,1978,STS-51-F,190.94,190.94
375,179,106,"Covey, Richard O.",male,1946,U.S.,military,1978,1,4,pilot,1985,STS-51-I,170.0,645.0
376,179,106,"Covey, Richard O.",male,1946,U.S.,military,1978,2,4,pilot,1988,STS-26,97.0,645.0
377,179,106,"Covey, Richard O.",male,1946,U.S.,military,1978,3,4,commander,1990,STS-38,118.0,645.0
378,179,106,"Covey, Richard O.",male,1946,U.S.,military,1978,4,4,commander,1993,STS-61,260.0,645.0
379,180,107,"Lounge, John M.",male,1946,U.S.,civilian,1980,1,3,MSP,1985,STS-51-I,170.0,482.0
380,180,107,"Lounge, John M.",male,1946,U.S.,civilian,1980,2,3,MSP,1988,STS-26,97.0,482.0
381,180,107,"Lounge, John M.",male,1946,U.S.,civilian,1980,3,3,MSP,1990,STS-35,215.0,482.0
382,181,108,"Fisher, William F.",male,1946,U.S.,civilian,1980,1,1,MSP,1985,STS-51-I,170.0,170.0
383,182,59,"Vasyutin, Vladimir",male,1952,U.S.S.R/Russia,military,1976,1,1,commander,1985,Salyut 7,1557.0,1557.87
384,183,60,"Volkov, Alexander",male,1948,U.S.S.R/Russia,military,1976,1,3,MSP,1985,Salyut 7,1557.0,9395.87
385,183,60,"Volkov, Alexander",male,1948,U.S.S.R/Russia,military,1976,2,3,MSP,1989,4,3635.0,9395.87
386,183,60,"Volkov, Alexander",male,1948,U.S.S.R/Russia,military,1976,3,3,MSP,1992,10,4202.0,9395.87
387,184,109,"Grabe, Ronald J.",male,1945,U.S.,military,1980,1,4,pilot,1985,STS-51-J,97.73,626.73
388,184,109,"Grabe, Ronald J.",male,1945,U.S.,military,1980,2,4,pilot,1989,STS-30,97.0,626.73
389,184,109,"Grabe, Ronald J.",male,1945,U.S.,military,1980,3,4,commander,1992,STS-42,193.0,626.73
390,184,109,"Grabe, Ronald J.",male,1945,U.S.,military,1980,4,4,commander,1993,STS-57,239.0,626.73
391,185,110,"Hilmers, David C.",male,1950,U.S.,military,1980,1,4,MSP,1985,STS-51-J,97.0,493.0
392,185,110,"Hilmers, David C.",male,1950,U.S.,military,1980,2,4,MSP,1988,STS-26,97.0,493.0
393,185,110,"Hilmers, David C.",male,1950,U.S.,military,1980,3,4,MSP,1990,STS-36,106.0,493.0
394,185,110,"Hilmers, David C.",male,1950,U.S.,military,1980,4,4,MSP,1992,STS-42,193.0,493.0
395,186,111,"Pailes, William Arthur",male,1936,U.S.,military,1982,1,1,PSP,1985,STS-51-J,98.11,98.11
396,187,112,"Dunbar, Bonnie J.",female,1949,U.S.,civilian,1980,1,5,MSP,1985,STS-61-A,168.0,1208.0
397,187,112,"Dunbar, Bonnie J.",female,1949,U.S.,civilian,1980,2,5,MSP,1990,STS-32,261.0,1208.0
398,187,112,"Dunbar, Bonnie J.",female,1949,U.S.,civilian,1980,3,5,MSP,1992,STS-50,331.0,1208.0
399,187,112,"Dunbar, Bonnie J.",female,1949,U.S.,civilian,1980,4,5,MSP,1995,STS-71,235.0,1208.0
400,187,112,"Dunbar, Bonnie J.",female,1949,U.S.,civilian,1980,5,5,MSP,1998,STS-89,211.0,1208.0
401,188,2,"Furrer, Reinhard Alfred",male,1940,Germany,civilian,1982,1,1,PSP,1985,STS-61A,168.73,168.73
402,189,3,"Messerschmid, Ernst Willi",male,1945,Germany,military,1982,1,1,PSP,1985,STS-61A,168.73,168.73
403,190,1,"Ockels, Wubbo Johannes",male,1946,Netherland,civilian,1978,1,1,PSP,1985,STS-61-A,168.73,168.73
404,191,113,"O'Connor, Bryan D.",male,1946,U.S.,military,1980,1,2,pilot,1985,STS-61B Atlantis,165.0,386.0
405,191,113,"O'Connor, Bryan D.",male,1946,U.S.,military,1980,2,2,commander,1991,STS-40 Columbia,218.0,386.0
406,192,114,"Ross, Jerry L.",male,1948,U.S.,military,1980,1,7,MSP,1985,STS-61,165.0,1393.0
407,192,114,"Ross, Jerry L.",male,1948,U.S.,military,1980,2,7,MSP,1988,STS-27,105.0,1393.0
408,192,114,"Ross, Jerry L.",male,1948,U.S.,military,1980,3,7,MSP,1991,STS-37,143.0,1393.0
409,192,114,"Ross, Jerry L.",male,1948,U.S.,military,1980,4,7,MSP,1993,STS-55,239.0,1393.0
410,192,114,"Ross, Jerry L.",male,1948,U.S.,military,1980,5,7,MSP,1995,STS-74,129.0,1393.0
411,192,114,"Ross, Jerry L.",male,1948,U.S.,military,1980,6,7,MSP,1998,STS-88,283.0,1393.0
412,192,114,"Ross, Jerry L.",male,1948,U.S.,military,1980,7,7,MSP,2002,STS-110,259.0,1393.0
413,193,115,"Cleave, Mary L.",female,1947,U.S.,civilian,1980,1,2,MSP,1985,STS-30,97.0,262.0
414,193,115,"Cleave, Mary L.",female,1947,U.S.,civilian,1980,2,2,MSP,1989,STS-61-B,165.0,262.0
415,194,116,"Spring, Sherwood C.",male,1944,U.S.,military,1980,1,1,MSP,1985,STS-61-B,165.0,165.0
416,195,1,"Neri Vela, Rodolfl",male,1952,Mexico,civilian,1985,1,1,PSP,1985,STS-61-B,165.07,165.67
417,196,117,"Bolden, Charles F., Jr.",male,1946,U.S.,military,1980,1,4,pilot,1986,STS-61-C,74.0,680.0
418,196,117,"Bolden, Charles F., Jr.",male,1946,U.S.,military,1980,2,4,pilot,1990,STS-31,121.0,680.0
419,196,117,"Bolden, Charles F., Jr.",male,1946,U.S.,military,1980,3,4,commander,1992,STS-45,214.0,680.0
420,196,117,"Bolden, Charles F., Jr.",male,1946,U.S.,military,1980,4,4,commander,1994,STS-60,199.0,680.0
421,197,118,"Chang-Diaz, Franklin R.",male,1950,U.S.,civilian,1980,1,7,MSP,1986,STS-61-C,146.0,1601.0
422,197,118,"Chang-Diaz, Franklin R.",male,1950,U.S.,civilian,1980,2,7,MSP,1989,STS-34,120.0,1601.0
423,197,118,"Chang-Diaz, Franklin R.",male,1950,U.S.,civilian,1980,3,7,MSP,1992,STS-46,191.0,1601.0
424,197,118,"Chang-Diaz, Franklin R.",male,1950,U.S.,civilian,1980,4,7,MSP,1994,STS-60,199.0,1601.0
425,197,118,"Chang-Diaz, Franklin R.",male,1950,U.S.,civilian,1980,5,7,MSP,1996,STS-75,377.0,1601.0
426,197,118,"Chang-Diaz, Franklin R.",male,1950,U.S.,civilian,1980,6,7,MSP,1998,STS-91,236.0,1601.0
427,197,118,"Chang-Diaz, Franklin R.",male,1950,U.S.,civilian,1980,7,7,MSP,2002,STS-111,333.0,1601.0
428,198,119,"Cenker, Robert Joseph",male,1948,U.S.,civilian,1985,1,1,PSP,1986,STS-61C,146.42,146.42
429,199,120,"Nelson, William Clarence",male,1942,U.S.,civilian,1984,1,1,PSP,1986,STS-61C,6.03,6.03
430,200,121,"Smith, Michael John",male,1945,U.S.,military,1980,1,1,pilot,1986,STS-51L,0.61,0.61
431,201,122,"Jarvis, Gregory Bruce",male,1944,U.S.,civilian,1984,1,1,PSP,1986,STS-51L,0.61,0.61
432,202,123,"McAuliffe, Sharon Christa Corrigan",female,1948,U.S.,civilian,1985,1,1,PSP,1986,STS-51L,0.61,0.61
433,203,61,"Laveykin, Aleksandr",male,1951,U.S.S.R/Russia,civilian,1978,1,1,flight engineer,1987,2,4179.0,4179.42
434,204,62,"Viktorenko, Aleksandr",male,1947,U.S.S.R/Russia,military,1978,1,4,commander,1987,1,191.0,11737.55
435,204,62,"Viktorenko, Aleksandr",male,1947,U.S.S.R/Russia,military,1978,2,4,commander,1990,5,3990.0,11737.55
436,204,62,"Viktorenko, Aleksandr",male,1947,U.S.S.R/Russia,military,1978,3,4,commander,1992,11,3494.0,11737.55
437,204,62,"Viktorenko, Aleksandr",male,1947,U.S.S.R/Russia,military,1978,4,4,commander,1994,17,4061.0,11737.55
438,205,1,"Faris, M. Achmed",male,1951,Syria,military,1985,1,1,MSP,1987,1,191.0,191.0
439,206,63,"Manarov, Musa",male,1951,U.S.S.R/Russia,military,1978,1,2,flight engineer,1987,3,8782.0,12984.47
440,206,63,"Manarov, Musa",male,1951,U.S.S.R/Russia,military,1978,2,2,flight engineer,1990,8,4201.0,12984.47
441,207,64,"Levchenko, Anatoli",male,1941,U.S.S.R/Russia,military,1977,1,1,MSP,1987,Soyuz TM­4/3,189.0,189.97
442,208,65,"Solovyev, Anatoly",male,1948,U.S.S.R/Russia,military,1976,1,5,commander,1988,2,236.0,15624.03
443,208,65,"Solovyev, Anatoly",male,1948,U.S.S.R/Russia,military,1976,2,5,commander,1990,6,4297.0,15624.03
